,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
5683,2020-00008721,,,,,,Emergency Petition,CBE
5684,2020-00008722,,,,,,Alcohol Violation,CBE
5685,2020-00008811,,,,,,DWI/DUI,Arrest
5686,2020-00008884,,,,,,Vandalism,Investigation Pending
5687,2020-00008901,,,,,,Theft,Active/Pending
5688,2020-00008957,,,,,,Title IX Incident Non Criminal,CBE
5689,2020-00009070,,,,,,Theft,Investigation Pending
5690,2020-00009102,,,,,,CDS Violation,Arrest
5691,2020-00009144,,,,,,CDS Violation,Arrest
5692,2020-00009210,,,,,,Injured/Sick Person,CBE
5693,2020-00009327,,,,,,Theft,Unfounded
5694,2020-00009424,,,,,,Injured/Sick Person,CBE
5695,2020-00009438,,,,,,Damaged Property,CBE
5696,2020-00009484,,,,,,Assist Other Agency (Title IX Related),Active/Pending
5697,2020-00009485,,,,,,Injured/Sick Person,CBE
5698,2020-00009518,,,,,,Injured/Sick Person,CBE
5699,2020-00009600,,,,,,Injured/Sick Person,CBE
5700,2020-00009633,,,,,,Disorderly Conduct,Arrest
5701,2020-00009794,,,,,,DWI/DUI,Arrest
5702,2020-00009800,,,,,,Warrant/Summons Service,Warrant Issued
5703,2020-00009802,,,,,,DWI/DUI,Arrest
5704,2020-00009821,,,,,,Other Incident,CBE
5705,2020-00009898,,,,,,Emergency Petition,CBE
5706,2020-00009964,,,,,,Assist Other Agency (Title IX Related),CBE
5707,2020-00010043,,,,,,CDS Violation,Arrest
5708,2020-00010141,,,,,,Injured/Sick Person,CBE
5709,2020-00010167,,,,,,Suspicious Activity,Active/Pending
5710,2020-00010188,,,,,,CDS Violation,Arrest
5711,2020-00010246,,,,,,Injured/Sick Person,CBE
5712,2020-00010269,,,,,,CDS Violation,Arrest
5713,2020-00010279,,,,,,Injured/Sick Person,CBE
5714,2020-00010280,,,,,,Injured/Sick Person,CBE
5715,2020-00010284,,,,,,Injured/Sick Person,CBE
5716,2020-00010287,,,,,,Injured/Sick Person,CBE
5717,2020-00010447,,,,,,Assist Other Agency,CBE
5718,2020-00010465,,,,,,Vandalism,Investigation Pending
5719,2020-00010591,,,,,,Dept Property Damage/Loss,CBE
5720,2020-00010655,,,,,,Accident - Departmental,CBE
5721,2020-00010667,,,,,,Theft,Investigation Pending
5722,2020-00010764,,,,,,Emergency Petition,CBE
5723,2020-00010856,,,,,,Theft,Investigation Pending
5724,2020-00010857,,,,,,Injured/Sick Person,CBE
5725,2020-00010860,,,,,,Vandalism,Investigation Pending
5726,2020-00010907,,,,,,Recovered Stolen Property,CBE
5727,2020-00010918,,,,,,Fraud,Investigation Pending
5728,2020-00010983,,,,,,CDS Violation,Arrest
5729,2020-00010993,,,,,,DWI/DUI,Arrest
5730,2020-00011049,,,,,,Theft,Investigation Pending
5731,2020-00011071,,,,,,Stolen Motor Vehicle,CBE
5732,2020-00011072,,,,,,Vandalism,Investigation Pending
5733,2020-00011172,,,,,,Injured/Sick Person,CBE
5734,2020-00011187,,,,,,Theft,Investigation Pending
5735,2020-00011256,,,,,,Assist Other Agency,Active/Pending
5736,2020-00011280,,,,,,Theft,Investigation Pending
5737,2020-00011333,,,,,,Injured/Sick Person,CBE
5738,2020-00011380,,,,,,CDS Violation,Arrest
5739,2020-00011408,,,,,,CDS Violation,Arrest
5740,2020-00011433,,,,,,Alcohol Violation,Arrest
5741,2020-00011437,,,,,,Alcohol Violation,Arrest
5742,2020-00011471,,,,,,DWI/DUI,Arrest
5743,2020-00011582,,,,,,Suspicious Person/Auto,CBE
5744,2020-00011679,,,,,,Alcohol Violation,CBE
5745,2020-00011700,,,,,,Assist Other Agency,CBE
5746,2020-00011743,,,,,,DWI/DUI,Arrest
5747,2020-00011837,,,,,,Injured/Sick Person,CBE
5748,2020-00011864,,,,,,Warrant/Summons Service,Arrest
5749,2020-00011931,,,,,,Injured/Sick Person,CBE
5750,2020-00011941,,,,,,Injured/Sick Person,CBE
5751,2020-00011966,,,,,,Alcohol Violation,Arrest
5752,2020-00011967,,,,,,Injured/Sick Person,CBE
5753,2020-00011979,,,,,,Injured/Sick Person,CBE
5754,2020-00011999,,,,,,Injured/Sick Person,CBE
5755,2020-00012081,,,,,,Warrant/Summons Service,Arrest
5756,2020-00012220,,,,,,Other Incident,CBE
5757,2020-00012257,,,,,,DWI/DUI,Arrest
5758,2020-00012267,,,,,,Burglary,Investigation Pending
5759,2020-00012361,,,,,,Harassment/Stalking,Active/Pending
5760,2020-00012376,,,,,,Harassment/Stalking,Active/Pending
5761,2020-00012530,,,,,,Vandalism,Arrest
5762,2020-00012606,,,,,,Suspicious Person/Auto,CBE
5763,2020-00012688,,,,,,DWI/DUI,Arrest
5764,2020-00012748,,,,,,False Report/Statement,CBE
5765,2020-00012785,,,,,,Accident - Departmental,CBE
5766,2020-00012883,,,,,,Assist Other Agency,CBE
5767,2020-00012919,,,,,,Theft,Investigation Pending
5768,2020-00013051,,,,,,Theft,Investigation Pending
5769,2020-00013090,,,,,,Title IX Incident Non Criminal,CBE
5770,2020-00013110,,,,,,Injured/Sick Person,CBE
5771,2020-00013184,,,,,,Injured/Sick Person,CBE
5772,2020-00013213,,,,,,Theft,Active/Pending
5773,2020-00013276,,,,,,CDS Violation,Arrest
5774,2020-00013281,,,,,,Suspicious Person/Auto,Arrest
5775,2020-00013302,,,,,,DWI/DUI,Arrest
5776,2020-00013309,,,,,,DWI/DUI,Arrest
5777,2020-00013399,,,,,,Injured/Sick Person,CBE
5778,2020-00013582,,,,,,CDS Violation,Arrest
5779,2020-00013593,,,,,,Injured/Sick Person,CBE
5780,2020-00013676,,,,,,DWI/DUI,Arrest
5781,2020-00013719,,,,,,Fraud,Active/Pending
5782,2020-00013736,,,,,,CDS Violation,CBE
5783,2020-00013763,,,,,,Injured/Sick Person,CBE
5784,2020-00013786,,,,,,Pedestrian Struck,CBE
5785,2020-00013793,,,,,,Injured/Sick Person,CBE
5786,2020-00013882,,,,,,DWI/DUI,Arrest
5787,2020-00013889,,,,,,DWI/DUI,Arrest
5788,2020-00013953,,,,,,Injured/Sick Person,CBE
5789,2020-00014024,,,,,,Theft from Auto,Summons Issued
5790,2020-00014235,,,,,,Other Incident,Arrest
5791,2020-00014286,,,,,,Suspicious Activity,CBE
5792,2020-00014309,,,,,,Injured/Sick Person,CBE
5793,2020-00014420,,,,,,CDS Violation,CBE
5794,2020-00014449,,,,,,DWI/DUI,Arrest
5795,2020-00014462,,,,,,Theft,Active/Pending
5796,2020-00014470,,,,,,Check on the Welfare,CBE
5797,2020-00014540,,,,,,Theft,Active/Pending
5798,2020-00014591,,,,,,Assist Other Agency,CBE
5799,2020-00014598,,,,,,Injured/Sick Person,CBE
5800,2020-00014615,,,,,,Theft,Investigation Pending
5801,2020-00014616,,,,,,Theft,Arrest
5802,2020-00014618,,,,,,Recovered Stolen Motor Vehicle,Arrest
5803,2020-00014723,,,,,,Theft,Active/Pending
5804,2020-00014743,,,,,,Theft,Investigation Pending
5805,2020-00014751,,,,,,Injured/Sick Person,CBE
5806,2020-00014981,,,,,,Theft,Investigation Pending
5807,2020-00015013,,,,,,Weapon Violation,Arrest
5808,2020-00015018,,,,,,Theft,Investigation Pending
5809,2020-00015133,,,,,,CDS Violation,Arrest
5810,2020-00015146,,,,,,Injured/Sick Person,CBE
5811,2020-00015187,,,,,,Theft,Warrant Issued
5812,2020-00015189,,,,,,DWI/DUI,Arrest
5813,2020-00015198,,,,,,Trespassing,CBE
5814,2020-00015213,,,,,,Theft,Investigation Pending
5815,2020-00015248,,,,,,Damaged Property,CBE
5816,2020-00015260,,,,,,Suspicious Activity (Title IX Related),CBE
5817,2020-00015277,,,,,,Injured/Sick Person,CBE
5818,2020-00015335,,,,,,Theft,Unfounded
5819,2020-00015404,,,,,,DWI/DUI,Arrest
5820,2020-00015504,,,,,,Hate Bias Incident,Investigation Pending
5821,2020-00015552,,,,,,DWI/DUI,Arrest
5822,2020-00015568,,,,,,Injured/Sick Person,CBE
5823,2020-00015605,,,,,,Disorderly Conduct,Arrest
5824,2020-00015628,,,,,,Injured/Sick Person,CBE
5825,2020-00015635,,,,,,Disorderly Conduct,Arrest
5826,2020-00015636,,,,,,Disorderly Conduct,Arrest
5827,2020-00015637,,,,,,Suspicious Activity,Arrest
5828,2020-00015661,,,,,,Assist Other Agency,CBE
5829,2020-00015662,,,,,,Theft,Unfounded
5830,2020-00015749,,,,,,CDS Violation,Arrest
5831,2020-00015816,,,,,,Theft from Auto,Investigation Pending
5832,2020-00015869,,,,,,Theft,Investigation Pending
5833,2020-00016017,,,,,,Assist Other Agency,CBE
5834,2020-00016024,,,,,,Injured/Sick Person,CBE
5835,2020-00016033,,,,,,Damage to State Property,Active/Pending
5836,2020-00016096,,,,,,Theft,Active/Pending
5837,2020-00016099,,,,,,Vandalism,Investigation Pending
5838,2020-00016277,,,,,,CDS Violation,Arrest
5839,2020-00016300,,,,,,CDS Violation,Arrest
5840,2020-00016356,,,,,,Vandalism,Investigation Pending
5841,2020-00016454,,,,,,Injured/Sick Person,CBE
5842,2020-00016499,,,,,,Theft,Arrest
5843,2020-00016514,,,,,,Vandalism,Investigation Pending
5844,2020-00016520,,,,,,Emergency Petition,CBE
5845,2020-00016590,,,,,,DWI/DUI,Arrest
5846,2020-00016616,,,,,,Injured/Sick Person,CBE
5847,2020-00016617,,,,,,Burglary,Arrest
5848,2020-00016621,,,,,,Burglary,Arrest
5849,2020-00016623,,,,,,Injured/Sick Person,CBE
5850,2020-00016632,,,,,,Burglary,Arrest
5851,2020-00016634,,,,,,Injured/Sick Person,CBE
5852,2020-00016637,,,,,,Vandalism,CBE
5853,2020-00016644,,,,,,Burglary,Arrest
5854,2020-00016666,,,,,,Other Incident,Active/Pending
5855,2020-00016768,,,,,,Emergency Petition,CBE
5856,2020-00016785,,,,,,DWI/DUI,Arrest
5857,2020-00016786,,,,,,Injured/Sick Person,CBE
5858,2020-00016799,,,,,,Burglary,Arrest
5859,2020-00016836,,,,,,Burglary,Investigation Pending
5860,2020-00016842,,,,,,Warrant/Summons Service,Arrest
5861,2020-00016848,,,,,,Injured Officer,CBE
5862,2020-00016865,,,,,,Other Incident,Unfounded
5863,2020-00016888,,,,,,Fraud,Active/Pending
5864,2020-00016905,,,,,,Injured/Sick Person,CBE
5865,2020-00016926,,,,,,CDS Violation,CBE
5866,2020-00016932,,,,,,Dept Property Damage/Loss,CBE
5867,2020-00017123,,,,,,Other Incident,Investigation Pending
5868,2020-00017130,,,,,,Theft,Investigation Pending
5869,2020-00017163,,,,,,Theft,Investigation Pending
5870,2020-00017186,,,,,,Emergency Petition,CBE
5871,2020-00017195,,,,,,CDS Violation,CBE
5872,2020-00017225,,,,,,Injured/Sick Person,CBE
5873,2020-00017230,,,,,,CDS Violation,Arrest
5874,2020-00017241,,,,,,Trespassing,CBE
5875,2020-00017257,,,,,,DWI/DUI,Arrest
5876,2020-00017276,,,,,,DWI/DUI,Arrest
5877,2020-00017335,,,,,,Theft from Auto,Investigation Pending
5878,2020-00017352,,,,,,Damaged Property,CBE
5879,2020-00017518,,,,,,Suspicious Activity,CBE
5880,2020-00017519,,,,,,Injured/Sick Person,CBE
5881,2020-00017529,,,,,,DWI/DUI,Arrest
5882,2020-00017532,,,,,,DWI/DUI,Arrest
5883,2020-00017537,,,,,,DWI/DUI,Arrest
5884,2020-00017540,,,,,,Injured/Sick Person,CBE
5885,2020-00017553,,,,,,Police Information,CBE
5886,2020-00017722,,,,,,DWI/DUI,Arrest
5887,2020-00017726,,,,,,CDS Violation,Arrest
5888,2020-00017736,,,,,,CDS Violation,Arrest
5889,2020-00017745,,,,,,CDS Violation,Arrest
5890,2020-00017832,,,,,,Other Incident,CBE
5891,2020-00017839,,,,,,Burglary,Investigation Pending
5892,2020-00017941,,,,,,CDS Violation,Arrest
5893,2020-00018086,,,,,,Injured/Sick Person,CBE
5894,2020-00018212,,,,,,Vandalism,Investigation Pending
5895,2020-00018224,,,,,,Title IX Incident Non Criminal,CBE
5896,2020-00018294,,,,,,DWI/DUI,Arrest
5897,2020-00018461,,,,,,Theft,Active/Pending
5898,2020-00018502,,,,,,Injured/Sick Person,CBE
5899,2020-00018528,,,,,,Police Information,CBE
5900,2020-00018552,,,,,,DWI/DUI,Arrest
5901,2020-00018607,,,,,,Vandalism,Arrest
5902,2020-00018635,,,,,,Warrant/Summons Service,Arrest
5903,2020-00018647,,,,,,Suspicious Activity,CBE
5904,2020-00018687,,,,,,Theft,Investigation Pending
5905,2020-00018694,,,,,,Theft,Active/Pending
5906,2020-00019092,,,,,,Theft from Auto,Active/Pending
5907,2020-00019117,,,,,,Police Information,CBE
5908,2020-00019306,,,,,,Theft from Auto,Active/Pending
5909,2020-00019450,,,,,,Burglary,Investigation Pending
5910,2020-00019515,,,,,,Other Incident,CBE
5911,2020-00019842,,,,,,Trespassing,Investigation Pending
5912,2020-00020177,,,,,,CDS Violation,Arrest
5913,2020-00020329,,,,,,Injured/Sick Person,CBE
5914,2020-00020338,,,,,,Recovered Stolen Property,Investigation Pending
5915,2020-00020368,,,,,,CDS Violation,Arrest
5916,2020-00020486,,,,,,Damage to State Property,CBE
5917,2020-00020488,,,,,,Vandalism,Investigation Pending
5918,2020-00020499,,,,,,Theft,Active/Pending
5919,2020-00020516,,,,,,Assist Other Agency,CBE
5920,2020-00020671,,,,,,Recovered Stolen Property,Arrest
5921,2020-00021038,,,,,,Other Incident,CBE
5922,2020-00021791,,,,,,Theft,Investigation Pending
5923,2020-00021873,,,,,,Other Incident,CBE
5924,2020-00021890,,,,,,CDS Violation,Arrest
5925,2020-00022010,,,,,,Injured/Sick Person,CBE
5926,2020-00022011,,,,,,Injured/Sick Person,CBE
5927,2020-00022012,,,,,,Injured/Sick Person,CBE
5928,2020-00022048,,,,,,Theft,Active/Pending
5929,2020-00022380,,,,,,Burglary,CBE
5930,2020-00022393,,,,,,CDS Violation,Arrest
5931,2020-00022643,,,,,,Other Incident,CBE
5932,2020-00022732,,,,,,Trespassing,CBE
5933,2020-00022745,,,,,,Theft,Investigation Pending
5934,2020-00023055,,,,,,Vandalism,Investigation Pending
5935,2020-00023057,,,,,,Damaged Property,CBE
5936,2020-00023452,,,,,,Dept Property Damage/Loss,CBE
5937,2020-00023754,,,,,,DWI/DUI,Arrest
5938,2020-00024241,,,,,,Injured/Sick Person,CBE
5939,2020-00024638,,,,,,Injured/Sick Person,CBE
5940,2020-00025694,,,,,,Assist Other Agency,CBE
5941,2020-00026066,,,,,,Assist Other Agency,CBE
5942,2020-00026376,,,,,,Traffic Offense,CBE
5943,2020-00026592,,,,,,Other Incident,CBE
5944,2020-00026912,,,,,,Other Incident,CBE
5945,2020-00027195,,,,,,Indecent Exposure,Arrest
5946,2020-00027323,,,,,,Suspicious Person/Auto,CBE
5947,2020-00027325,,,,,,Suspicious Activity,CBE
5948,2020-00027566,,,,,,Theft,Investigation Pending
5949,2020-00028202,,,,,,Theft,Active/Pending
5950,2020-00028262,,,,,,Injured/Sick Person,CBE
5951,2020-00028435,,,,,,Police Information,CBE
5952,2020-00028574,,,,,,Assist Other Agency,CBE
5953,2020-00028575,,,,,,Assist Other Agency,CBE
5954,2020-00028784,,,,,,Dept Property Damage/Loss,CBE
5955,2020-00029957,,,,,,Accident - Departmental,CBE
5956,2020-00030403,,,,,,CDS Violation,CBE
5957,2020-00030664,,,,,,Trespassing,CBE
5958,2020-00030732,,,,,,Alarm,CBE
5959,2020-00030925,,,,,,Dept Property Damage/Loss,Unfounded
5960,2020-00031018,,,,,,Telephone/EMail Misuse,CBE
5961,2020-00031221,,,,,,Injured/Sick Person,CBE
5962,2020-00031691,,,,,,Dept Property Damage/Loss,CBE
5963,2020-00031822,,,,,,Assist Other Agency,CBE
5964,2020-00032177,,,,,,Police Information,Active/Pending
5965,2020-00032500,,,,,,Assist Other Agency,CBE
5966,2020-00032503,,,,,,Emergency Petition,CBE
5967,2020-00032505,,,,,,Alarm,CBE
5968,2020-00032618,,,,,,Dept Property Damage/Loss,CBE
5969,2020-00032637,,,,,,Suspicious Activity,CBE
5970,2020-00032863,,,,,,Suspicious Activity,CBE
5971,2020-00032982,,,,,,Rape,CBE
5972,2020-00033060,,,,,,Injured/Sick Person,CBE
5973,2020-00033227,,,,,,Injured/Sick Person,CBE
5974,2020-00033684,,,,,,Suspicious Person/Auto,CBE
5975,2020-00033697,,,,,,Vandalism,Investigation Pending
5976,2020-00033727,,,,,,Fire,CBE
5977,2020-00034135,,,,,,Theft,Investigation Pending
5978,2020-00034144,,,,,,Burglary,Arrest
5979,2020-00034261,,,,,,Injured/Sick Person,CBE
5980,2020-00035106,,,,,,Theft,Active/Pending
5981,2020-00035178,,,,,,Other Incident,CBE
5982,2020-00036052,,,,,,Title IX Incident Non Criminal,CBE
5983,2020-00036225,,,,,,Theft from Auto,Investigation Pending
5984,2020-00036308,,,,,,Emergency Petition,Active/Pending
5985,2020-00036548,,,,,,Injured/Sick Person,CBE
5986,2020-00036595,,,,,,Injured/Sick Person,CBE
5987,2020-00036816,,,,,,Damage to State Property,CBE
5988,2020-00037049,,,,,,Theft,Investigation Pending
5989,2020-00037184,,,,,,Alarm,Active/Pending
5990,2020-00037357,,,,,,Damage to State Property,CBE
5991,2020-00037564,,,,,,Theft,Investigation Pending
5992,2020-00037723,,,,,,Theft,Investigation Pending
5993,2020-00037859,,,,,,Damage to State Property,CBE
5994,2020-00037881,,,,,,Theft,Investigation Pending
5995,2020-00037948,,,,,,Accident - Departmental,CBE
5996,2020-00038039,,,,,,Telephone/EMail Misuse,Investigation Pending
5997,2020-00038087,,,,,,Theft,Investigation Pending
5998,2020-00038210,,,,,,Assist Other Agency,CBE
5999,2020-00038441,,,,,,Theft,Investigation Pending
6000,2020-00038791,,,,,,Damage to State Property,CBE
6001,2020-00039309,,,,,,Theft,Arrest
6002,2020-00039368,,,,,,Injured/Sick Person,CBE
6003,2020-00039503,,,,,,Theft,Active/Pending
6004,2020-00039770,,,,,,CDS Violation,Arrest
6005,2020-00039888,,,,,,Theft,Investigation Pending
6006,2020-00039902,,,,,,Theft,Active/Pending
6007,2020-00039924,,,,,,Other Incident,CBE
6008,2020-00040669,,,,,,Other Incident,CBE
6009,2020-00040682,,,,,,Burglary,Investigation Pending
6010,2020-00040689,,,,,,Theft from Auto,Summons Issued
6011,2020-00040876,,,,,,Theft from Auto,Summons Issued
6012,2020-00041917,,,,,,Burglary,Investigation Pending
6013,2020-00041946,,,,,,Assist Other Agency,CBE
6014,2020-00041984,,,,,,Other Incident,CBE
6015,2020-00042146,,,,,,Other Incident,CBE
6016,2020-00042601,,,,,,Theft from Auto,Summons Issued
6017,2020-00043741,,,,,,Recovered Stolen Property,Arrest
6018,2020-00044331,,,,,,Other Incident,Investigation Pending
6019,2020-00044723,,,,,,Suspicious Activity,Investigation Pending
6020,2020-00044869,,,,,,Damaged Property,Investigation Pending
6021,2020-00045165,,,,,,Injured Officer,CBE
6022,2020-00045235,,,,,,Injured/Sick Person,CBE
6023,2020-00045296,,,,,,Dept Property Damage/Loss,CBE
6024,2020-00045477,,,,,,Hate Bias Incident,Investigation Pending
6025,2020-00045778,,,,,,Suspicious Activity,Active/Pending
6026,2020-00045808,,,,,,Indecent Exposure,Arrest
6027,2020-00045893,,,,,,Theft,Investigation Pending
6028,2020-00046154,,,,,,Vandalism,Arrest
6029,2020-00046342,,,,,,Assist Other Agency,CBE
6030,2020-00046931,,,,,,Injured/Sick Person,CBE
6031,2020-00046958,,,,,,Theft,Investigation Pending
6032,2020-00047091,,,,,,Burglary,Active/Pending
6033,2020-00047165,,,,,,Theft,Unfounded
6034,2020-00047205,,,,,,Theft,Arrest
6035,2020-00047287,,,,,,Burglary,Active/Pending
6036,2020-00047692,,,,,,Other Incident,Active/Pending
6037,2020-00047703,,,,,,Damage to State Property,CBE
6038,2020-00047756,,,,,,Fraud,Investigation Pending
6039,2020-00047769,,,,,,Injured/Sick Person,CBE
6040,2020-00048260,,,,,,Theft,Active/Pending
6041,2020-00048586,,,,,,Damage to State Property,CBE
6042,2020-00048977,,,,,,Emergency Petition,CBE
6043,2020-00048981,,,,,,Fraud,Investigation Pending
6044,2020-00049268,,,,,,Accident - Departmental,CBE
6045,2020-00049772,,,,,,Dept Property Damage/Loss,CBE
6046,2020-00049863,,,,,,Injured/Sick Person,CBE
6047,2020-00050221,,,,,,Theft,CBE
6048,2020-00050386,,,,,,Assist Other Agency,CBE
6049,2020-00050701,,,,,,Theft,Arrest
6050,2020-00051225,,,,,,Assist Other Agency,CBE
6051,2020-00051434,,,,,,Burglary,Investigation Pending
6052,2020-00051776,,,,,,Accident - Departmental,CBE
6053,2020-00051868,,,,,,Other Incident,CBE
6054,2020-00051950,,,,,,Injured/Sick Person,CBE
6055,2020-00052678,,,,,,Theft,Investigation Pending
6056,2020-00053179,,,,,,Vandalism,Active/Pending
6057,2020-00053785,,,,,,CDS Violation,Arrest
6058,2020-00053795,,,,,,DWI/DUI,Arrest
6059,2020-00053844,,,,,,DWI/DUI,Arrest
6060,2020-00054193,,,,,,DWI/DUI,Arrest
6061,2020-00054512,,,,,,CDS Violation,Arrest
6062,2020-00054772,,,,,,DWI/DUI,Arrest
6063,2020-00054811,,,,,,Weapon Violation,Arrest
6064,2020-00055155,,,,,,Theft,Investigation Pending
6065,2020-00055209,,,,,,Other Incident,CBE
6066,2020-00055574,,,,,,Theft,Unfounded
6067,2020-00055586,,,,,,Title IX Incident Non Criminal,CBE
6068,2020-00055886,,,,,,Fraud,Investigation Pending
6069,2020-00056002,,,,,,Assist Other Agency,CBE
6070,2020-00056062,,,,,,Theft,Unfounded
6071,2020-00056066,,,,,,Injured/Sick Person,CBE
6072,2020-00056145,,,,,,Fraud,Investigation Pending
6073,2020-00056158,,,,,,Suspicious Activity,Active/Pending
6074,2020-00056322,,,,,,Vandalism,Summons Issued
6075,2020-00056420,,,,,,Missing Person/Runaway,CBE
6076,2020-00056687,,,,,,Damaged Property,CBE
6077,2020-00056883,,,,,,Pornography/Obscene Material (Title IX Related),Investigation Pending
6078,2020-00057147,,,,,,Emergency Petition,CBE
6079,2020-00057286,,,,,,Injured/Sick Person,CBE
6080,2020-00057358,,,,,,CDS Violation,Active/Pending
6081,2020-00057512,,,,,,CDS Violation,Arrest
6082,2020-00057521,,,,,,Assist Other Agency,CBE
6083,2020-00057627,,,,,,Suspicious Person/Auto,CBE
6084,2020-00057865,,,,,,Injured/Sick Person,CBE
6085,2020-00058069,,,,,,Emergency Petition (Title IX Related),Investigation Pending
6086,2020-00058164,,,,,,DWI/DUI,Arrest
6087,2020-00058191,,,,,,CDS Violation,Arrest
6088,2020-00058463,,,,,,CDS Violation,Arrest
6089,2020-00058526,,,,,,DWI/DUI,Arrest
6090,2020-00058579,,,,,,Accident,CBE
6091,2020-00058689,,,,,,Rape,CBE
6092,2020-00058701,,,,,,Theft,Investigation Pending
6093,2020-00058789,,,,,,DWI/DUI,Arrest
6094,2020-00058815,,,,,,Theft,Active/Pending
6095,2020-00058936,,,,,,Accident - Departmental,CBE
6096,2020-00059169,,,,,,Damage to State Property,CBE
6097,2020-00059246,,,,,,Vandalism,Active/Pending
6098,2020-00059388,,,,,,DWI/DUI,Arrest
6099,2020-00059414,,,,,,DWI/DUI,Arrest
6100,2020-00059483,,,,,,Theft,Investigation Pending
6101,2020-00059579,,,,,,Assist Other Agency,CBE
6102,2020-00059622,,,,,,Injured Officer,CBE
6103,2020-00059661,,,,,,Fraud,Investigation Pending
6104,2020-00059678,,,,,,Theft,Arrest
6105,2020-00059771,,,,,,Fraud,Investigation Pending
6106,2020-00059800,,,,,,Fraud,Investigation Pending
6107,2020-00059818,,,,,,Other Incident,CBE
6108,2020-00059857,,,,,,Emergency Petition,CBE
6109,2020-00060080,,,,,,Rape (Title IX Related),CBE
6110,2020-00060099,,,,,,Emergency Petition,CBE
6111,2020-00060106,,,,,,Theft,Unfounded
6112,2020-00060123,,,,,,Emergency Petition,CBE
6113,2020-00060416,,,,,,CDS Violation,Arrest
6114,2020-00060476,,,,,,DWI/DUI,Arrest
6115,2020-00060488,,,,,,DWI/DUI,Arrest
6116,2020-00060495,,,,,,Vandalism,Investigation Pending
6117,2020-00060589,,,,,,Theft,Investigation Pending
6118,2020-00060749,,,,,,CDS Violation,Arrest
6119,2020-00060977,,,,,,Theft,Investigation Pending
6120,2020-00060999,,,,,,CDS Violation,Arrest
6121,2020-00061004,,,,,,Dept Property Damage/Loss,CBE
6122,2020-00061205,,,,,,Lost Property,CBE
6123,2020-00061225,,,,,,Theft,Investigation Pending
6124,2020-00061433,,,,,,CDS Violation,Arrest
6125,2020-00061439,,,,,,CDS Violation,Arrest
6126,2020-00061452,,,,,,Assist Other Agency,CBE
6127,2020-00061485,,,,,,Warrant/Summons Service,Arrest
6128,2020-00061521,,,,,,Threat Assessment,Active/Pending
6129,2020-00061547,,,,,,Damage to State Property,CBE
6130,2020-00061602,,,,,,Injured/Sick Person,CBE
6131,2020-00061682,,,,,,Vandalism,CBE
6132,2020-00061957,,,,,,Injured/Sick Person,CBE
6133,2020-00062046,,,,,,CDS Violation,Arrest
6134,2020-00062084,,,,,,CDS Violation,Arrest
6135,2020-00062199,,,,,,Stolen Motor Vehicle,Active/Pending
6136,2020-00062232,,,,,,Theft,Active/Pending
6137,2020-00062256,,,,,,Theft,Active/Pending
6138,2020-00062408,,,,,,CDS Violation,Arrest
6139,2020-00062456,,,,,,Injured/Sick Person,CBE
6140,2020-00062479,,,,,,DWI/DUI,Arrest
6141,2020-00062503,,,,,,CDS Violation,Arrest
6142,2020-00062505,,,,,,DWI/DUI,Arrest
6143,2020-00062640,,,,,,Theft,Active/Pending
6144,2020-00062681,,,,,,Theft,Warrant Issued
6145,2020-00062683,,,,,,Injured/Sick Person,CBE
6146,2020-00062695,,,,,,CDS Violation,Active/Pending
6147,2020-00062721,,,,,,DWI/DUI,Arrest
6148,2020-00062727,,,,,,DWI/DUI,Arrest
6149,2020-00062880,,,,,,Injured/Sick Person,CBE
6150,2020-00062888,,,,,,Injured/Sick Person,CBE
6151,2020-00062922,,,,,,DWI/DUI,Arrest
6152,2020-00062924,,,,,,Injured/Sick Person,CBE
6153,2020-00062933,,,,,,DWI/DUI,Arrest
6154,2020-00063205,,,,,,Injured/Sick Person,CBE
6155,2020-00063265,,,,,,DWI/DUI,Arrest
6156,2020-00063339,,,,,,Injured/Sick Person,CBE
6157,2020-00063413,,,,,,Theft,Unfounded
6158,2020-00063543,,,,,,Theft,Active/Pending
6159,2020-00063630,,,,,,CDS Violation,Arrest
6160,2020-00064032,,,,,,Theft,Investigation Pending
6161,2020-00064058,,,,,,Injured/Sick Person,CBE
6162,2020-00064082,,,,,,Alarm,Active/Pending
6163,2020-00064094,,,,,,Injured/Sick Person,CBE
6164,2020-00064240,,,,,,CDS Violation,Arrest
6165,2020-00064268,,,,,,Injured/Sick Person,CBE
6166,2020-00064573,,,,,,Theft,Investigation Pending
6167,2020-00064594,,,,,,CDS Violation,Active/Pending
6168,2020-00064637,,,,,,Injured/Sick Person,CBE
6169,2020-00064668,,,,,,DWI/DUI,Arrest
6170,2020-00064685,,,,,,DWI/DUI,Arrest
6171,2020-00064723,,,,,,Theft,CBE
6172,2020-00064838,,,,,,Injured/Sick Person,CBE
6173,2020-00064852,,,,,,Warrant/Summons Service,Arrest
6174,2020-00064868,,,,,,DWI/DUI,Arrest
6175,2020-00064880,,,,,,DWI/DUI,Arrest
6176,2020-00065065,,,,,,DWI/DUI,Arrest
6177,2020-00065157,,,,,,Theft from Auto,Investigation Pending
6178,2020-00065212,,,,,,Theft,Warrant Issued
6179,2020-00065272,,,,,,Other Incident,CBE
6180,2020-00065300,,,,,,Emergency Petition,CBE
