row_number,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
4812,2021-00038490,,,,,,Fraud,Investigation Pending
4813,2021-00038621,,,,,,DWI/DUI,Arrest
4814,2021-00039135,,,,,,Injured Officer,CBE
4815,2021-00039362,,,,,,Injured/Sick Person,CBE
4816,2021-00039363,,,,,,Assist Other Agency,CBE
4817,2021-00039388,,,,,,Trespassing,CBE
4818,2021-00039390,,,,,,Theft,Investigation Pending
4819,2021-00039709,,,,,,Theft,Active/Pending
4820,2021-00039737,,,,,,Disorderly Conduct,Arrest
4821,2021-00039740,,,,,,DWI/DUI,Arrest
4822,2021-00039741,,,,,,Suspicious Activity,CBE
4823,2021-00039743,,,,,,Vandalism,Active/Pending
4824,2021-00039948,,,,,,Traffic Arrest,Arrest
4825,2021-00039950,,,,,,DWI/DUI,Arrest
4826,2021-00040033,,,,,,Theft,Investigation Pending
4827,2021-00040092,,,,,,Theft,Summons Issued
4828,2021-00040110,,,,,,Other Incident,CBE
4829,2021-00040226,,,,,,Injured/Sick Person,CBE
4830,2021-00040515,,,,,,DWI/DUI,Arrest
4831,2021-00040583,,,,,,Injured/Sick Person,CBE
4832,2021-00040693,,,,,,Theft,Investigation Pending
4833,2021-00040907,,,,,,Trespassing,Arrest
4834,2021-00040918,,,,,,Theft,Unfounded
4835,2021-00040986,,,,,,Burglary,Arrest
4836,2021-00040988,,,,,,Fraud,Investigation Pending
4837,2021-00041042,,,,,,Vandalism,Unfounded
4838,2021-00041075,,,,,,CDS Violation,Arrest
4839,2021-00041087,,,,,,Hazardous Condition,CBE
4840,2021-00041109,,,,,,Title IX Incident Non Criminal,CBE
4841,2021-00041207,,,,,,Theft,Investigation Pending
4842,2021-00041540,,,,,,CDS Violation,CBE
4843,2021-00041607,,,,,,DWI/DUI,Arrest
4844,2021-00042120,,,,,,Traffic Offense,CBE
4845,2021-00042290,,,,,,Suspicious Activity,CBE
4846,2021-00042356,,,,,,Theft,Arrest
4847,2021-00042418,,,,,,DWI/DUI,Arrest
4848,2021-00042434,,,,,,DWI/DUI,Arrest
4849,2021-00042470,,,,,,CDS Violation,Arrest
4850,2021-00042473,,,,,,Disorderly Conduct,Arrest
4851,2021-00042487,,,,,,DWI/DUI,Arrest
4852,2021-00042554,,,,,,Other Incident,Unfounded
4853,2021-00043320,,,,,,Injured/Sick Person,CBE
4854,2021-00043498,,,,,,DWI/DUI,Arrest
4855,2021-00043916,,,,,,CDS Violation,Arrest
4856,2021-00044232,,,,,,DWI/DUI,Arrest
4857,2021-00044434,,,,,,DWI/DUI,Arrest
4858,2021-00044526,,,,,,Vandalism,Investigation Pending
4859,2021-00044659,,,,,,DWI/DUI,Arrest
4860,2021-00044674,,,,,,DWI/DUI,Arrest
4861,2021-00044989,,,,,,Theft,Investigation Pending
4862,2021-00044997,,,,,,Theft from Auto,Investigation Pending
4863,2021-00045423,,,,,,Theft from Auto,Investigation Pending
4864,2021-00045427,,,,,,Vandalism,Investigation Pending
4865,2021-00045586,,,,,,Suspicious Activity,Arrest
4866,2021-00045615,,,,,,Dept Property Damage/Loss,CBE
4867,2021-00045671,,,,,,Theft,Investigation Pending
4868,2021-00045754,,,,,,Accident - Departmental,CBE
4869,2021-00045803,,,,,,DWI/DUI,Arrest
4870,2021-00045834,,,,,,DWI/DUI,Arrest
4871,2021-00045838,,,,,,DWI/DUI,Arrest
4872,2021-00045932,,,,,,Fraud,CBE
4873,2021-00045973,,,,,,Assault,CBE
4874,2021-00046011,,,,,,Injured/Sick Person,CBE
4875,2021-00046090,,,,,,DWI/DUI,Arrest
4876,2021-00046132,,,,,,Traffic Offense,Warrant Issued
4877,2021-00046228,,,,,,Injured/Sick Person,CBE
4878,2021-00046471,,,,,,Assist Other Agency,CBE
4879,2021-00046587,,,,,,Injured/Sick Person,CBE
4880,2021-00046614,,,,,,Injured/Sick Person,CBE
4881,2021-00046730,,,,,,Injured Officer,CBE
4882,2021-00047186,,,,,,Fraud,Active/Pending
4883,2021-00047446,,,,,,Injured/Sick Person,CBE
4884,2021-00047465,,,,,,Assist Other Agency,CBE
4885,2021-00047497,,,,,,Assist Other Agency,Arrest
4886,2021-00048130,,,,,,DWI/DUI,Arrest
4887,2021-00048283,,,,,,Assist Other Agency,CBE
4888,2021-00048417,,,,,,CDS Violation,CBE
4889,2021-00048488,,,,,,DWI/DUI,Arrest
4890,2021-00048542,,,,,,Accident,Active/Pending
4891,2021-00048646,,,,,,Dept Property Damage/Loss,CBE
4892,2021-00048929,,,,,,Assist Other Agency,CBE
4893,2021-00049554,,,,,,Injured/Sick Person,CBE
4894,2021-00049696,,,,,,DWI/DUI,Arrest
4895,2021-00049702,,,,,,DWI/DUI,Arrest
4896,2021-00049971,,,,,,DWI/DUI,Arrest
4897,2021-00050334,,,,,,DWI/DUI,Arrest
4898,2021-00050338,,,,,,Stolen Motor Vehicle,Unfounded
4899,2021-00050377,,,,,,Theft,Investigation Pending
4900,2021-00050657,,,,,,DWI/DUI,Arrest
4901,2021-00050668,,,,,,DWI/DUI,Arrest
4902,2021-00050817,,,,,,DWI/DUI,Arrest
4903,2021-00050860,,,,,,Injured/Sick Person,CBE
4904,2021-00050884,,,,,,DWI/DUI,Arrest
4905,2021-00050901,,,,,,DWI/DUI,Arrest
4906,2021-00050902,,,,,,DWI/DUI,Arrest
4907,2021-00050929,,,,,,CDS Violation,Arrest
4908,2021-00051000,,,,,,Emergency Petition,CBE
4909,2021-00051142,,,,,,Fraud,Investigation Pending
4910,2021-00051275,,,,,,Vandalism,Active/Pending
4911,2021-00051430,,,,,,Other Incident,CBE
4912,2021-00051639,,,,,,DWI/DUI,Arrest
4913,2021-00052267,,,,,,DWI/DUI,Arrest
4914,2021-00052284,,,,,,DWI/DUI,Arrest
4915,2021-00052296,,,,,,Assist Other Agency,CBE
4916,2021-00052362,,,,,,Assist Other Agency (Title IX Related),CBE
4917,2021-00052516,,,,,,DWI/DUI,Arrest
4918,2021-00052568,,,,,,DWI/DUI,Arrest
4919,2021-00052572,,,,,,DWI/DUI,Arrest
4920,2021-00052707,,,,,,Theft,Investigation Pending
4921,2021-00052774,,,,,,DWI/DUI,Arrest
4922,2021-00052841,,,,,,Vandalism,Investigation Pending
4923,2021-00052972,,,,,,Hazardous Condition,CBE
4924,2021-00053047,,,,,,Accident,CBE
4925,2021-00053166,,,,,,Other Incident,CBE
4926,2021-00053396,,,,,,Injured/Sick Person,CBE
4927,2021-00053414,,,,,,Hazardous Condition,CBE
4928,2021-00053458,,,,,,Title IX Incident Non Criminal,Active/Pending
4929,2021-00053483,,,,,,Assist Other Agency,CBE
4930,2021-00053554,,,,,,Assist Other Agency,CBE
4931,2021-00053654,,,,,,Suspicious Activity,Investigation Pending
4932,2021-00053738,,,,,,Other Incident,CBE
4933,2021-00054101,,,,,,Injured/Sick Person,CBE
4934,2021-00054207,,,,,,DWI/DUI,Arrest
4935,2021-00054211,,,,,,Assist Other Agency,CBE
4936,2021-00054230,,,,,,DWI/DUI,Arrest
4937,2021-00054240,,,,,,Emergency Petition,CBE
4938,2021-00054326,,,,,,Injured/Sick Person,CBE
4939,2021-00054342,,,,,,Injured/Sick Person,CBE
4940,2021-00054556,,,,,,Reckless Endangerment,Investigation Pending
4941,2021-00054645,,,,,,Theft from Auto,Investigation Pending
4942,2021-00054694,,,,,,Suspicious Activity,CBE
4943,2021-00054730,,,,,,Warrant/Summons Service,Arrest
4944,2021-00054778,,,,,,Stolen Motor Vehicle,Investigation Pending
4945,2021-00054790,,,,,,Damage to State Property,CBE
4946,2021-00055350,,,,,,Assist Other Agency,CBE
4947,2021-00055456,,,,,,Suspicious Activity,CBE
4948,2021-00055543,,,,,,CDS Violation,Arrest
4949,2021-00055742,,,,,,Injured/Sick Person,CBE
4950,2021-00055853,,,,,,CDS Violation,Arrest
4951,2021-00055999,,,,,,Hazardous Condition,CBE
4952,2021-00056200,,,,,,Traffic Arrest,Arrest
4953,2021-00056460,,,,,,CDS Violation,Arrest
4954,2021-00056467,,,,,,DWI/DUI,Arrest
4955,2021-00056519,,,,,,CDS Violation,Arrest
4956,2021-00056533,,,,,,Injured/Sick Person,CBE
4957,2021-00056539,,,,,,DWI/DUI,Arrest
4958,2021-00056544,,,,,,DWI/DUI,Arrest
4959,2021-00056704,,,,,,Theft,Investigation Pending
4960,2021-00057532,,,,,,Injured/Sick Person,CBE
4961,2021-00057539,,,,,,Injured/Sick Person,CBE
4962,2021-00057665,,,,,,Other Incident,CBE
4963,2021-00057731,,,,,,Injured/Sick Person,CBE
4964,2021-00057835,,,,,,Theft,Arrest
4965,2021-00058242,,,,,,Other Incident,CBE
4966,2021-00058301,,,,,,Injured/Sick Person,CBE
4967,2021-00058324,,,,,,DWI/DUI,Arrest
4968,2021-00058414,,,,,,Assist Other Agency,CBE
4969,2021-00058621,,,,,,Suspicious Activity,CBE
4970,2021-00058928,,,,,,DWI/DUI,Arrest
4971,2021-00059300,,,,,,DWI/DUI,Arrest
4972,2021-00059686,,,,,,CDS Violation,Arrest
4973,2021-00059694,,,,,,Warrant/Summons Service,Arrest
4974,2021-00059717,,,,,,CDS Violation,Arrest
4975,2021-00059874,,,,,,Hazardous Condition,CBE
4976,2021-00059878,,,,,,Dept Property Damage/Loss,CBE
4977,2021-00059942,,,,,,Suspicious Activity,Unfounded
4978,2021-00059988,,,,,,Other Incident,Unfounded
4979,2021-00060370,,,,,,Missing Person/Runaway,CBE
4980,2021-00060444,,,,,,DWI/DUI,Arrest
4981,2021-00060501,,,,,,Damage to State Property,CBE
4982,2021-00060535,,,,,,Injured/Sick Person,CBE
4983,2021-00060637,,,,,,Injured/Sick Person,CBE
4984,2021-00060689,,,,,,DWI/DUI,Arrest
4985,2021-00060709,,,,,,Injured/Sick Person,CBE
4986,2021-00060820,,,,,,Animal Complaint,CBE
4987,2021-00060869,,,,,,Assist Other Agency,CBE
4988,2021-00060948,,,,,,DWI/DUI,Arrest
4989,2021-00060955,,,,,,Suspicious Activity (Title IX Related),Investigation Pending
4990,2021-00060976,,,,,,DWI/DUI,Arrest
4991,2021-00061074,,,,,,Assist Other Agency,CBE
4992,2021-00061173,,,,,,Injured/Sick Person,CBE
4993,2021-00061205,,,,,,Other Incident,CBE
4994,2021-00061254,,,,,,Bomb Threat,Arrest
4995,2021-00061380,,,,,,Theft,Unfounded
4996,2021-00061399,,,,,,Suspicious Activity,CBE
4997,2021-00061420,,,,,,Assist Other Agency,CBE
4998,2021-00061440,,,,,,Other Incident,CBE
4999,2021-00061559,,,,,,Burglary,Arrest
5000,2021-00061561,,,,,,Theft,Investigation Pending
5001,2021-00061568,,,,,,Hazardous Condition,CBE
5002,2021-00061633,,,,,,Injured/Sick Person,CBE
5003,2021-00061914,,,,,,Injured/Sick Person,CBE
5004,2021-00062240,,,,,,Injured/Sick Person,CBE
5005,2021-00062248,,,,,,Theft,Arrest
5006,2021-00062259,,,,,,Injured/Sick Person,CBE
5007,2021-00062352,,,,,,DWI/DUI,Arrest
5008,2021-00062372,,,,,,Trespassing,CBE
5009,2021-00062410,,,,,,Assist Other Agency,CBE
5010,2021-00062613,,,,,,Warrant/Summons Service,Arrest
5011,2021-00062641,,,,,,Warrant/Summons Service,Arrest
5012,2021-00062675,,,,,,Domestic,CBE
5013,2021-00062689,,,,,,DWI/DUI,Arrest
5014,2021-00062705,,,,,,Trespassing,CBE
5015,2021-00062927,,,,,,Emergency Petition,CBE
5016,2021-00062930,,,,,,Theft,Arrest
5017,2021-00062958,,,,,,DWI/DUI,Arrest
5018,2021-00063238,,,,,,Assist Other Agency,CBE
5019,2021-00063287,,,,,,Other Incident,CBE
5020,2021-00063579,,,,,,Dept Property Damage/Loss,CBE
5021,2021-00063587,,,,,,Accident - Departmental,CBE
5022,2021-00063714,,,,,,Check on the Welfare,CBE
5023,2021-00063768,,,,,,DWI/DUI,Arrest
5024,2021-00064035,,,,,,Theft,Investigation Pending
5025,2021-00064121,,,,,,DWI/DUI,Arrest
5026,2021-00064122,,,,,,DWI/DUI,Arrest
5027,2021-00064173,,,,,,Injured/Sick Person,CBE
5028,2021-00064451,,,,,,DWI/DUI,Arrest
5029,2021-00064460,,,,,,DWI/DUI,Arrest
5030,2021-00064752,,,,,,DWI/DUI,Arrest
5031,2021-00064856,,,,,,Injured/Sick Person,CBE
5032,2021-00065002,,,,,,Accident - Departmental,CBE
5033,2021-00065009,,,,,,DWI/DUI,Arrest
5034,2021-00065751,,,,,,DWI/DUI,Arrest
5035,2021-00065868,,,,,,Theft,Arrest
5036,2021-00066020,,,,,,DWI/DUI,Arrest
5037,2021-00066079,,,,,,CDS Violation,Arrest
5038,2021-00066100,,,,,,Injured/Sick Person,CBE
5039,2021-00066204,,,,,,Theft,Investigation Pending
5040,2021-00066252,,,,,,Dept Property Damage/Loss,Active/Pending
5041,2021-00066293,,,,,,Other Incident,CBE
5042,2021-00066298,,,,,,Injured/Sick Person,CBE
5043,2021-00066362,,,,,,DWI/DUI,Arrest
5044,2021-00066386,,,,,,DWI/DUI,Arrest
5045,2021-00066402,,,,,,CDS Violation,Arrest
5046,2021-00066406,,,,,,Injured/Sick Person,CBE
5047,2021-00066548,,,,,,Other Service Call,CBE
5048,2021-00066552,,,,,,Injured/Sick Person,CBE
5049,2021-00066589,,,,,,Injured/Sick Person,CBE
5050,2021-00066657,,,,,,Injured/Sick Person,CBE
5051,2021-00066703,,,,,,Injured/Sick Person,CBE
5052,2021-00066706,,,,,,Injured/Sick Person,CBE
5053,2021-00066728,,,,,,Injured/Sick Person,CBE
5054,2021-00066730,,,,,,Injured/Sick Person,CBE
5055,2021-00066733,,,,,,DWI/DUI,Arrest
5056,2021-00066743,,,,,,Injured/Sick Person,CBE
5057,2021-00066747,,,,,,Injured/Sick Person,CBE
5058,2021-00066858,,,,,,Injured/Sick Person,CBE
5059,2021-00066915,,,,,,Hate Bias Incident,Investigation Pending
5060,2021-00066916,,,,,,Injured/Sick Person,CBE
5061,2021-00066973,,,,,,Assist Other Agency,CBE
5062,2021-00066981,,,,,,Harassment/Stalking,CBE
5063,2021-00066987,,,,,,Injured/Sick Person,CBE
5064,2021-00066992,,,,,,Injured/Sick Person,CBE
5065,2021-00066997,,,,,,DWI/DUI,Arrest
5066,2021-00067004,,,,,,Injured/Sick Person,CBE
5067,2021-00067006,,,,,,Injured/Sick Person,CBE
5068,2021-00067020,,,,,,DWI/DUI,Arrest
5069,2021-00067026,,,,,,CDS Violation,Arrest
5070,2021-00067058,,,,,,Injured/Sick Person,CBE
5071,2021-00067061,,,,,,Recovered Stolen Property,CBE
5072,2021-00067068,,,,,,Injured/Sick Person,CBE
5073,2021-00067220,,,,,,DWI/DUI,Arrest
5074,2021-00067229,,,,,,Theft,Active/Pending
5075,2021-00067233,,,,,,Hate Bias Incident,Investigation Pending
5076,2021-00067422,,,,,,Injured/Sick Person,CBE
5077,2021-00067433,,,,,,Injured/Sick Person,CBE
5078,2021-00067445,,,,,,CDS Violation,CBE
5079,2021-00067613,,,,,,Theft,Investigation Pending
5080,2021-00067796,,,,,,Theft,Unfounded
5081,2021-00067809,,,,,,Theft,Arrest
5082,2021-00067926,,,,,,Suspicious Activity,Active/Pending
5083,2021-00067959,,,,,,Injured/Sick Person,CBE
5084,2021-00067983,,,,,,Injured/Sick Person,CBE
5085,2021-00067989,,,,,,DWI/DUI,Arrest
5086,2021-00068006,,,,,,Damage to State Property,Active/Pending
5087,2021-00068017,,,,,,Trespassing,CBE
5088,2021-00068092,,,,,,Injured/Sick Person,CBE
5089,2021-00068105,,,,,,Injured/Sick Person,CBE
5090,2021-00068107,,,,,,Assist Other Agency,CBE
5091,2021-00068124,,,,,,Injured/Sick Person,CBE
5092,2021-00068263,,,,,,Injured/Sick Person,CBE
5093,2021-00068264,,,,,,DWI/DUI,Arrest
5094,2021-00068269,,,,,,DWI/DUI,Arrest
5095,2021-00068370,,,,,,Injured/Sick Person,CBE
5096,2021-00068381,,,,,,Theft,Investigation Pending
5097,2021-00068477,,,,,,Injured/Sick Person,CBE
5098,2021-00068516,,,,,,CDS Violation,CBE
5099,2021-00068555,,,,,,Alcohol Violation,Arrest
5100,2021-00068564,,,,,,Assault,CBE
5101,2021-00068577,,,,,,CDS Violation,Arrest
5102,2021-00068579,,,,,,Injured/Sick Person,CBE
5103,2021-00068586,,,,,,Injured/Sick Person,CBE
5104,2021-00068601,,,,,,Injured/Sick Person,CBE
5105,2021-00068742,,,,,,Injured/Sick Person,CBE
5106,2021-00068896,,,,,,Injured/Sick Person,CBE
5107,2021-00068902,,,,,,Assist Other Agency,CBE
5108,2021-00068908,,,,,,Injured/Sick Person,CBE
5109,2021-00068949,,,,,,Assist Other Agency,CBE
5110,2021-00068950,,,,,,CDS Violation,CBE
5111,2021-00068965,,,,,,Suspicious Activity,CBE
5112,2021-00068968,,,,,,Injured/Sick Person,CBE
5113,2021-00068991,,,,,,Injured/Sick Person,CBE
5114,2021-00069000,,,,,,DWI/DUI,Arrest
5115,2021-00069007,,,,,,Suspicious Activity,Unfounded
5116,2021-00069090,,,,,,Injured/Sick Person,CBE
5117,2021-00069100,,,,,,Injured/Sick Person,CBE
5118,2021-00069102,,,,,,Trespassing,Arrest
5119,2021-00069110,,,,,,Injured/Sick Person,CBE
5120,2021-00069123,,,,,,Injured/Sick Person,CBE
5121,2021-00069142,,,,,,DWI/DUI,Arrest
5122,2021-00069153,,,,,,Injured/Sick Person,CBE
5123,2021-00069201,,,,,,Injured/Sick Person,CBE
5124,2021-00069221,,,,,,DWI/DUI,Arrest
5125,2021-00069238,,,,,,Injured/Sick Person,CBE
5126,2021-00069323,,,,,,Title IX Incident Non Criminal,CBE
5127,2021-00069387,,,,,,Theft,Investigation Pending
5128,2021-00069454,,,,,,Suspicious Activity,CBE
5129,2021-00069455,,,,,,Injured/Sick Person,CBE
5130,2021-00069500,,,,,,Injured/Sick Person,CBE
5131,2021-00069511,,,,,,Injured/Sick Person,CBE
5132,2021-00069711,,,,,,Injured/Sick Person,CBE
5133,2021-00069717,,,,,,Injured/Sick Person,CBE
5134,2021-00069752,,,,,,Injured/Sick Person,CBE
5135,2021-00069772,,,,,,CDS Violation,Arrest
5136,2021-00069787,,,,,,CDS Violation,CBE
5137,2021-00069906,,,,,,Vandalism,Investigation Pending
5138,2021-00069909,,,,,,Assist Other Agency,CBE
5139,2021-00069919,,,,,,Vandalism,Investigation Pending
5140,2021-00069927,,,,,,Theft,Investigation Pending
5141,2021-00069928,,,,,,Vandalism,Investigation Pending
5142,2021-00069980,,,,,,Title IX Incident Non Criminal,CBE
5143,2021-00069981,,,,,,Suspicious Activity,CBE
5144,2021-00069990,,,,,,Injured/Sick Person,CBE
5145,2021-00069991,,,,,,Injured/Sick Person,CBE
5146,2021-00070059,,,,,,Emergency Petition,CBE
5147,2021-00070158,,,,,,Injured/Sick Person,CBE
5148,2021-00070177,,,,,,Found/Recovered Property,CBE
5149,2021-00070195,,,,,,Theft,Investigation Pending
5150,2021-00070232,,,,,,Injured/Sick Person,CBE
5151,2021-00070289,,,,,,Injured/Sick Person,CBE
5152,2021-00070359,,,,,,DWI/DUI,Arrest
5153,2021-00070494,,,,,,Theft,Investigation Pending
5154,2021-00070550,,,,,,Emergency Petition,CBE
5155,2021-00070552,,,,,,Other Incident,Investigation Pending
5156,2021-00070601,,,,,,CDS Violation,Arrest
5157,2021-00070720,,,,,,CDS Violation,Arrest
5158,2021-00070732,,,,,,Suspicious Person/Auto,Active/Pending
5159,2021-00070841,,,,,,Hate Crime,Active/Pending
5160,2021-00071051,,,,,,Injured/Sick Person,CBE
5161,2021-00071061,,,,,,Injured/Sick Person,CBE
5162,2021-00071069,,,,,,Injured/Sick Person,CBE
5163,2021-00071115,,,,,,Injured/Sick Person,CBE
5164,2021-00071288,,,,,,Injured/Sick Person,CBE
5165,2021-00071295,,,,,,Injured/Sick Person,CBE
5166,2021-00071298,,,,,,Alcohol Violation,CBE
5167,2021-00071325,,,,,,Injured/Sick Person,CBE
5168,2021-00071340,,,,,,DWI/DUI,Arrest
5169,2021-00071350,,,,,,Injured/Sick Person,CBE
5170,2021-00071418,,,,,,Injured/Sick Person,CBE
5171,2021-00071449,,,,,,Theft,Arrest
5172,2021-00071453,,,,,,Emergency Petition,CBE
5173,2021-00071504,,,,,,Harassment/Stalking,Active/Pending
5174,2021-00071513,,,,,,Emergency Petition,CBE
5175,2021-00071613,,,,,,DWI/DUI,Arrest
5176,2021-00071803,,,,,,Damaged Property,CBE
5177,2021-00071854,,,,,,Injured/Sick Person,CBE
5178,2021-00071870,,,,,,Theft,Investigation Pending
5179,2021-00071942,,,,,,DWI/DUI,Arrest
5180,2021-00071950,,,,,,DWI/DUI,Arrest
5181,2021-00072025,,,,,,Theft,Investigation Pending
5182,2021-00072026,,,,,,Injured/Sick Person,CBE
5183,2021-00072105,,,,,,Theft,Investigation Pending
5184,2021-00072109,,,,,,Injured/Sick Person,CBE
5185,2021-00072115,,,,,,Injured/Sick Person,CBE
5186,2021-00072191,,,,,,Injured/Sick Person,CBE
5187,2021-00072264,,,,,,DWI/DUI,Arrest
5188,2021-00072272,,,,,,Injured/Sick Person,CBE
5189,2021-00072324,,,,,,Injured/Sick Person,CBE
5190,2021-00072327,,,,,,Injured/Sick Person,CBE
5191,2021-00072490,,,,,,Injured/Sick Person,CBE
5192,2021-00072524,,,,,,Injured/Sick Person,CBE
5193,2021-00072542,,,,,,DWI/DUI,Arrest
5194,2021-00072566,,,,,,DWI/DUI,Arrest
5195,2021-00072667,,,,,,Injured/Sick Person,CBE
5196,2021-00072795,,,,,,Suspicious Activity,Active/Pending
5197,2021-00072801,,,,,,DWI/DUI,Arrest
5198,2021-00072830,,,,,,DWI/DUI,Arrest
5199,2021-00072838,,,,,,Injured/Sick Person,CBE
5200,2021-00072846,,,,,,Assist Other Agency,CBE
5201,2021-00072868,,,,,,Theft,Investigation Pending
5202,2021-00072881,,,,,,Theft,Unfounded
5203,2021-00072886,,,,,,Theft,Arrest
5204,2021-00072917,,,,,,Theft,Arrest
5205,2021-00072926,,,,,,Other Incident,Active/Pending
5206,2021-00072966,,,,,,Injured/Sick Person,CBE
5207,2021-00072992,,,,,,Injured/Sick Person,CBE
5208,2021-00072993,,,,,,Injured/Sick Person,CBE
5209,2021-00072999,,,,,,Injured/Sick Person,CBE
5210,2021-00073015,,,,,,Injured/Sick Person,CBE
5211,2021-00073017,,,,,,Injured/Sick Person,CBE
5212,2021-00073047,,,,,,Injured/Sick Person,CBE
5213,2021-00073122,,,,,,Emergency Petition,CBE
5214,2021-00073126,,,,,,Injured/Sick Person,CBE
5215,2021-00073135,,,,,,Theft,Unfounded
5216,2021-00073174,,,,,,DWI/DUI,Arrest
5217,2021-00073241,,,,,,CDS Violation,CBE
5218,2021-00073275,,,,,,Injured/Sick Person,CBE
5219,2021-00073293,,,,,,Assist Other Agency,CBE
5220,2021-00073337,,,,,,Injured/Sick Person,CBE
5221,2021-00073415,,,,,,Injured/Sick Person,CBE
5222,2021-00073490,,,,,,Injured/Sick Person,CBE
5223,2021-00073493,,,,,,Other Incident,CBE
5224,2021-00073494,,,,,,CDS Violation,Arrest
5225,2021-00073578,,,,,,Vandalism,Investigation Pending
5226,2021-00073625,,,,,,Burglary,Investigation Pending
5227,2021-00073710,,,,,,Theft,Investigation Pending
5228,2021-00073719,,,,,,Other Incident,CBE
5229,2021-00073725,,,,,,Injured/Sick Person,CBE
5230,2021-00073749,,,,,,Lost Property,Active/Pending
5231,2021-00073761,,,,,,Assist Other Agency,CBE
5232,2021-00073763,,,,,,Theft,Arrest
5233,2021-00073862,,,,,,Assist Other Agency,CBE
5234,2021-00073980,,,,,,Injured/Sick Person,CBE
5235,2021-00074039,,,,,,Injured/Sick Person,CBE
5236,2021-00074052,,,,,,Injured/Sick Person,CBE
5237,2021-00074085,,,,,,DWI/DUI,Arrest
5238,2021-00074243,,,,,,Theft,Investigation Pending
5239,2021-00074247,,,,,,Other Incident,CBE
5240,2021-00074467,,,,,,Burglary,Unfounded
5241,2021-00074499,,,,,,Theft,Active/Pending
5242,2021-00074515,,,,,,Other Service Call,CBE
5243,2021-00074528,,,,,,Emergency Petition,CBE
5244,2021-00074529,,,,,,Theft,Arrest
5245,2021-00074566,,,,,,Injured/Sick Person,CBE
5246,2021-00074591,,,,,,Suspicious Activity,Investigation Pending
5247,2021-00074601,,,,,,Accident - Departmental,CBE
5248,2021-00074654,,,,,,Theft,CBE
5249,2021-00074672,,,,,,Theft,Arrest
5250,2021-00074679,,,,,,CDS Violation,Arrest
5251,2021-00074788,,,,,,Suspicious Person/Auto,CBE
5252,2021-00074953,,,,,,Injured/Sick Person,CBE
5253,2021-00074967,,,,,,Disorderly Conduct,Arrest
5254,2021-00074969,,,,,,Injured/Sick Person,CBE
5255,2021-00074970,,,,,,Injured/Sick Person,CBE
5256,2021-00074987,,,,,,Warrant/Summons Service,Arrest
5257,2021-00074988,,,,,,Injured/Sick Person,CBE
5258,2021-00074999,,,,,,Injured/Sick Person,CBE
5259,2021-00075000,,,,,,Injured/Sick Person,CBE
5260,2021-00075028,,,,,,Emergency Petition,CBE
5261,2021-00075080,,,,,,Injured/Sick Person,CBE
5262,2021-00075081,,,,,,Injured/Sick Person,CBE
5263,2021-00075119,,,,,,Injured/Sick Person,CBE
5264,2021-00075124,,,,,,Injured/Sick Person,CBE
5265,2021-00075130,,,,,,Assist Other Agency (Title IX Related),CBE
5266,2021-00075141,,,,,,Suspicious Activity,CBE
5267,2021-00075143,,,,,,DWI/DUI,Arrest
5268,2021-00075148,,,,,,DWI/DUI,Arrest
5269,2021-00075194,,,,,,Other Incident,Active/Pending
5270,2021-00075203,,,,,,Hate Bias Incident,Unfounded
5271,2021-00075247,,,,,,Theft from Auto,Active/Pending
5272,2021-00075257,,,,,,Fraud (Title IX Related),Investigation Pending
5273,2021-00075394,,,,,,DWI/DUI,Arrest
5274,2021-00075552,,,,,,Fire,CBE
5275,2021-00075742,,,,,,Injured/Sick Person,CBE
5276,2021-00075784,,,,,,Injured/Sick Person,CBE
5277,2021-00075831,,,,,,Theft,Arrest
5278,2021-00075949,,,,,,Injured/Sick Person,CBE
5279,2021-00075976,,,,,,CDS Violation,Arrest
5280,2021-00076000,,,,,,Theft,Investigation Pending
5281,2021-00076027,,,,,,Injured/Sick Person,CBE
5282,2021-00076083,,,,,,Injured/Sick Person,CBE
5283,2021-00076106,,,,,,Other Incident,CBE
5284,2021-00076153,,,,,,Domestic,CBE
5285,2021-00076167,,,,,,Stolen Motor Vehicle,Arrest
5286,2021-00076194,,,,,,Injured/Sick Person,CBE
5287,2021-00076195,,,,,,Theft,Active/Pending
5288,2021-00076199,,,,,,Injured/Sick Person,CBE
5289,2021-00076203,,,,,,CDS Violation,CBE
5290,2021-00076215,,,,,,Other Incident,CBE
5291,2021-00076217,,,,,,Burglary,Arrest
5292,2021-00076426,,,,,,Theft,Arrest
5293,2021-00076513,,,,,,Other Incident,CBE
5294,2021-00076559,,,,,,Injured/Sick Person,CBE
5295,2021-00076652,,,,,,Assault,Warrant Issued
5296,2021-00076672,,,,,,Injured/Sick Person,CBE
5297,2021-00076688,,,,,,Injured/Sick Person,CBE
5298,2021-00076719,,,,,,Injured/Sick Person,CBE
5299,2021-00076734,,,,,,Injured/Sick Person,CBE
5300,2021-00076744,,,,,,Injured/Sick Person,CBE
5301,2021-00076752,,,,,,Injured/Sick Person,CBE
5302,2021-00076756,,,,,,Injured/Sick Person,CBE
5303,2021-00076757,,,,,,Injured/Sick Person,CBE
5304,2021-00076761,,,,,,Assault,Investigation Pending
5305,2021-00076828,,,,,,DWI/DUI,Arrest
5306,2021-00076922,,,,,,Theft,Investigation Pending
5307,2021-00077065,,,,,,Dept Property Damage/Loss,CBE
